discount	name	weight_volume_price	price	old_price	image_link
0	Шницель свиной Рестория охлажденный 400г	1 шт / 189.99 руб	189.99	Отсутствует	https://photos.5-delivery.ru/big/product/1180632-main
0	Творог фруктовый Агуша Яблоко-Банан 3.9% с 6 месяцев 100г	1 шт / 34.49 руб	34.49	Отсутствует	https://photos.5-delivery.ru/big/product/1158774-main
0	Ванилин Haas пищевой 1.5г	1 шт / 4.49 руб	4.49	Отсутствует	https://photos.5-delivery.ru/big/product/1173950-main
17.81	Азу из индейки Рестория, 500г	1 шт / 179.99 руб	179.99	218.99	https://photos.5-delivery.ru/big/product/1206981-main
0	Картофель мытый 2.5кг	1 шт / 149.99 руб	149.99	Отсутствует	https://photos.5-delivery.ru/big/product/1162528-main
0	Макароны Makfa витки, 450г	1 шт / 57.99 руб	57.99	Отсутствует	https://photos.5-delivery.ru/big/product/1160735-main
0	Бумага туалетная Papia белая 3 слоя 12 рулонов	1 шт / 399.99 руб	399.99	Отсутствует	https://photos.5-delivery.ru/big/product/1365643-main
0	Петрушка Global Village, 30г	1 шт / 39.99 руб	39.99	Отсутствует	https://photos.5-delivery.ru/big/product/1158322-main
13.04	Напиток CoolСola газированный 1.5л	1 шт / 79.99 руб	79.99	91.99	https://photos.5-delivery.ru/big/product/1447770-main
13.05	Шоколад молочный Alpen Gold 85г	1 шт / 59.99 руб	59.99	68.99	https://photos.5-delivery.ru/big/product/1204710-main
0	Укроп Global Village, 100г	1 шт / 54.99 руб	54.99	Отсутствует	https://photos.5-delivery.ru/big/product/1158801-main
20	Сахар Dr.Oetker ванильный 8г	1 шт / 8.99 руб	8.99	8.99	https://photos.5-delivery.ru/big/product/1157909-main
0	Пакеты Liberhaus для продуктов 26x36см, 100шт	1 шт / 59.99 руб	59.99	Отсутствует	https://photos.5-delivery.ru/big/product/1185231-main
0	Молоко Сарафаново пастеризованное 2.5% 930мл	1 шт / 68.99 руб	68.99	Отсутствует	https://photos.5-delivery.ru/big/product/1180122-main
26.32	Фарш Мираторг любительский 400г	1 шт / 139.99 руб	139.99	189.99	https://photos.5-delivery.ru/big/product/1185531-main
0	Морковь мытая	1 шт / 59.99 руб	59.99	Отсутствует	https://photos.5-delivery.ru/big/product/1157437-main
0	Капуста квашеная Global Village с морковью, 700г	1 шт / 129.99 руб	129.99	Отсутствует	https://photos.5-delivery.ru/big/product/1183046-main
0	Салфетки Красная Цена влажные детские 60шт.	1 шт / 54.99 руб	54.99	Отсутствует	https://photos.5-delivery.ru/big/product/1450474-main
